id	ENSG00000222041	ENSG00000227372	ENSG00000232533	ENSG00000256802
TCGA-DB-A4XH	0.148723992	1.716284308	3.087200811	0.129739122
TCGA-DB-A64L	0.392077429	1.482529273	4.391081168	0.115665618
TCGA-DB-A64O	0.596946159	4.639064086	8.158375922	0.521789659
TCGA-DB-A64P	0.481088642	0.949510287	6.223043816	0.069790588
TCGA-DB-A64Q	0.116798975	0.874261951	5.593635923	0.157029111
TCGA-DB-A64R	0.239962205	0.672014422	2.545446774	0.198322646
TCGA-DB-A64S	0.324141263	1.676572176	4.452772139	0.04012884
TCGA-DB-A64U	0.2450972	2.755940794	2.289415535	0.172232757
TCGA-DB-A64V	0.727478024	3.032679251	5.735207411	0.136271152
TCGA-DB-A64W	0.708180231	1.515709579	4.054019222	0.211441085
TCGA-DB-A64X	0.460794336	0.50112624	6.006385822	0.078000752
TCGA-DB-A75K	1.20405377	1.558047942	6.623411178	0.286451624
TCGA-DB-A75L	0.512106951	1.227279122	4.676964621	0.076717039
TCGA-DB-A75M	0.200860073	1.035210018	3.005911115	0.04606488
TCGA-DB-A75O	0.182498833	0.990579272	3.923224965	0.142272815
TCGA-DB-A75P	1.804640728	4.404283764	8.23402503	0.37303748
TCGA-DH-5141	0.177839034	1.287757033	7.369217899	0.091510503
TCGA-DH-5142	0.5378972	0.706290274	12.54355512	0.20672677
TCGA-DH-5143	0.551792654	0.837229603	2.9800613	0.103707556
TCGA-DH-5144	0.09477408	0.483119663	3.198785156	0.018131691
TCGA-DH-A66B	0.936954403	0.59820152	10.20066894	0.129255926
TCGA-DH-A66D	0.623039606	1.034036017	6.347029765	0.084412575
TCGA-DH-A66F	0.122237779	0.549254056	2.920868148	0.095380948
TCGA-DH-A7UR	0.948941476	1.612957502	5.873195114	0.208731811
TCGA-DH-A7US	0.252519	2.00577172	3.376885241	0.229871584
TCGA-DH-A7UT	0.963358449	2.491384503	6.042873282	0.208687308
TCGA-DH-A7UU	0.128201053	1.135173858	4.006430445	0.010482575
TCGA-DH-A7UV	0.229147453	1.124475216	2.456332405	0.021139002
TCGA-DU-5847	2.064455787	7.716270393	7.638209212	0.690427408
TCGA-DU-5849	0.505043109	2.696310883	4.364010643	0.236913664
TCGA-DU-5851	0.733520363	2.96942583	2.439188576	0.204758716
TCGA-DU-5853	0.260515453	1.030970805	2.064204556	0.081615117
TCGA-DU-5854	2.746362674	8.877821427	9.807302394	0.183518306
TCGA-DU-5855	0.355412318	0.931167959	5.199536919	0.066442632
TCGA-DU-5870	0.381173584	0.972638968	3.714290259	0.131406726
TCGA-DU-5871	0.192827051	0.684508292	2.779611226	0.09425954
TCGA-DU-5872	0.350358317	0.845045861	3.555014461	0.180054521
TCGA-DU-5874	0.626916017	0.462076837	3.511473157	0.082523483
TCGA-DU-6392	4.719562658	8.966956213	29.47882051	0.142171201
TCGA-DU-6410	0.605649039	0.359323274	4.229696302	0.052481992
TCGA-DU-6542	0.791093451	0.923163197	3.875605857	0.067138315
TCGA-DU-7008	0.606087062	0.655706387	8.470570091	0.052513212
TCGA-DU-7009	0.303251016	1.106502599	3.876507844	0.148791923
TCGA-DU-7015	0.285357715	0.732279695	4.928501402	0.070781669
TCGA-DU-7019	0.676402882	1.090078847	4.439924257	0.051963218
TCGA-DU-7294	0.321066557	0.720561908	3.03681177	0.120555122
TCGA-DU-7302	0.989402576	1.329332774	4.788597894	0.340135713
TCGA-DU-7306	0.189164205	0.798023268	5.891111637	0.085832952
TCGA-DU-7309	0.42573747	1.654944996	3.211047784	0.165282085
TCGA-DU-8162	1.815593533	4.830783213	5.94182787	0.514301703
TCGA-DU-8163	0.361846385	1.630090793	3.714292555	0.110122509
TCGA-DU-8164	0.423638353	0.821225132	3.829847674	0.111957937
TCGA-DU-8165	2.555889974	12.0951858	5.325062436	0.869703723
